日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块名称,股票代码
2023-04-03,21.53,21.59,22.37,21.53,49386,108092639.0,3.88,-0.23,-0.05,1.53,动物保健,300119
2023-04-04,21.59,21.76,21.94,21.42,36148,78564932.24,2.41,0.79,0.17,1.12,动物保健,300119
2023-04-03,4.2,4.23,4.24,4.14,73355,30784640.0,2.38,0.71,0.03,0.65,动物保健,002141
2023-04-04,4.21,4.14,4.25,4.12,90127,37493246.0,3.07,-2.13,-0.09,0.79,动物保健,002141
2023-04-03,4.82,4.82,4.83,4.79,95444,45924571.0,0.83,-0.21,-0.01,1.36,农业综合,300021
2023-04-04,4.81,4.77,4.82,4.75,105498,50400838.88,1.45,-1.04,-0.05,1.5,农业综合,300021
2023-04-03,11.86,11.97,12.0,11.76,227678,271100104.0,2.02,0.76,0.09,2.03,动物保健,600201
2023-04-04,11.9,11.99,12.09,11.76,196408,233967960.0,2.76,0.17,0.02,1.75,动物保健,600201
2023-04-03,8.18,8.25,8.31,8.16,18672,15392508.0,1.83,0.73,0.06,0.45,动物保健,688098
2023-04-04,8.26,8.22,8.34,8.2,16622,13740631.0,1.7,-0.36,-0.03,0.4,动物保健,688098
2023-04-03,19.41,19.46,19.64,19.3,14958,29182576.0,1.75,0.26,0.05,1.8,动物保健,300871
2023-04-04,19.61,19.89,20.15,19.4,29495,58322139.62,3.85,2.21,0.43,3.56,动物保健,300871
2023-04-03,11.48,11.46,11.54,11.36,42900,49157291.0,1.58,0.35,0.04,0.67,动物保健,603718
2023-04-04,11.48,11.41,11.55,11.37,40509,46358933.0,1.57,-0.44,-0.05,0.63,动物保健,603718
2023-04-03,14.92,15.22,15.3,14.89,100913,152442191.0,2.75,2.01,0.3,0.99,动物保健,600195
2023-04-04,15.18,15.1,15.28,14.98,69311,104769741.0,1.97,-0.79,-0.12,0.68,动物保健,600195
2023-04-03,8.44,8.45,8.48,8.4,56087,47269060.77,0.94,-0.47,-0.04,0.6,农业综合,002556
2023-04-04,8.45,8.32,8.45,8.22,98867,82219729.0,2.72,-1.54,-0.13,1.06,农业综合,002556
2023-04-03,3.21,3.23,3.25,3.21,576,185945.93,1.24,0.0,0.0,0.06,动物保健,838275
2023-04-04,3.25,3.19,3.25,3.19,1069,343047.16,1.86,-1.24,-0.04,0.12,动物保健,838275
2023-04-03,8.52,8.29,8.52,8.16,1147,947970.03,4.38,0.85,0.07,0.14,动物保健,839729
2023-04-04,8.18,8.2,8.4,8.16,487,400525.86,2.9,-1.09,-0.09,0.06,动物保健,839729
2023-04-03,3.25,3.24,3.25,3.21,1525,492228.91,1.23,0.0,0.0,0.09,农业综合,830964
2023-04-04,3.25,3.23,3.25,3.22,629,203328.74,0.93,-0.31,-0.01,0.04,农业综合,830964
2023-04-03,5.3,5.28,5.3,5.23,40783,21466361.25,1.33,0.0,0.0,0.53,动物保健,002688
2023-04-04,5.28,5.24,5.32,5.23,33699,17770288.5,1.7,-0.76,-0.04,0.44,动物保健,002688
2023-04-03,28.49,31.26,31.26,28.18,140377,428643051.0,10.84,9.99,2.84,4.0,动物保健,603566
2023-04-04,30.76,31.6,32.12,30.76,105492,331765092.0,4.35,1.09,0.34,3.0,动物保健,603566
