日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块名称,股票代码
2023-05-04,21.69,21.87,22.23,21.41,33860,74077413.63,3.81,1.72,0.37,1.05,动物保健,300119
2023-05-04,3.78,3.79,3.86,3.73,70910,26951792.25,3.43,0.0,0.0,0.62,动物保健,002141
2023-05-04,5.16,5.23,5.29,5.12,131222,68641980.56,3.29,1.36,0.07,1.87,农业综合,300021
2023-05-04,10.73,10.69,10.79,10.64,109842,117520555.0,1.39,-0.65,-0.07,0.98,动物保健,600201
2023-05-04,7.72,7.77,7.79,7.65,11341,8754412.0,1.82,1.04,0.08,0.28,动物保健,688098
2023-05-04,17.9,18.41,18.44,17.85,23268,42239495.04,3.29,2.62,0.47,2.8,动物保健,300871
2023-05-04,10.19,10.36,10.4,10.19,48179,49679547.0,2.03,0.29,0.03,0.75,动物保健,603718
2023-05-04,12.9,12.92,13.08,12.78,105649,136645137.0,2.31,-0.62,-0.08,1.03,动物保健,600195
2023-05-04,8.28,8.25,8.28,8.23,52489,43306619.37,0.6,-0.48,-0.04,0.56,农业综合,002556
2023-05-04,3.06,3.05,3.07,3.0,1053,320251.51,2.28,-0.65,-0.02,0.12,动物保健,838275
2023-05-04,7.8,7.9,8.01,7.8,619,487970.39,2.63,-1.0,-0.08,0.08,动物保健,839729
2023-05-04,3.21,3.2,3.24,3.17,5806,1848125.74,2.18,-0.31,-0.01,0.33,农业综合,830964
2023-05-04,5.04,5.11,5.15,5.02,68633,35003673.5,2.58,1.59,0.08,0.9,动物保健,002688
2023-05-04,26.74,26.59,27.29,26.26,27406,73174124.0,3.88,0.04,0.01,0.78,动物保健,603566
2023-05-04,33.98,35.07,35.5,33.74,19317,67571098.6,5.17,2.94,1.0,1.27,动物保健,002868
2023-05-04,25.41,25.88,26.44,25.38,23849,62079104.0,4.14,1.13,0.29,1.91,动物保健,688526
2023-05-04,38.01,37.91,38.85,37.74,12661,48351710.46,2.89,-1.4,-0.54,0.39,畜禽养殖,300761
2023-05-04,7.46,7.52,7.52,7.39,159814,118981858.04,1.74,0.53,0.04,1.39,畜禽养殖,000735
2023-05-04,25.0,24.87,25.17,24.77,17211,42928405.9,1.59,-0.96,-0.24,1.87,畜禽养殖,001201
2023-05-04,47.73,47.09,47.73,46.97,233578,1101432998.27,1.59,-1.63,-0.78,0.64,畜禽养殖,002714
2023-05-04,3.87,3.98,4.01,3.81,130049,51495233.84,5.24,4.19,0.16,1.83,水产养殖,002069
2023-05-04,24.18,24.13,24.2,24.01,7666,18472259.0,0.79,-0.29,-0.07,1.16,畜禽养殖,605296
2023-05-04,16.1,16.1,16.3,16.0,17045,27466082.14,1.85,-0.68,-0.11,1.63,畜禽养殖,300967
2023-05-04,5.17,4.89,5.18,4.82,708648,352810481.66,6.86,-6.86,-0.36,4.61,畜禽养殖,002124
2023-05-04,37.68,37.35,37.69,36.9,6572,24481196.8,2.11,-0.4,-0.15,1.0,畜禽养殖,002982
2023-05-04,30.33,29.37,30.33,29.07,95215,280151435.0,4.2,-2.2,-0.66,1.98,畜禽养殖,603477
2023-05-04,10.7,10.08,10.7,10.05,106525,108833504.0,5.82,-9.76,-1.09,4.42,海洋捕捞,600097
2023-05-04,19.61,19.49,19.82,19.48,211672,415118390.78,1.72,-1.47,-0.29,0.4,畜禽养殖,300498
2023-05-04,6.99,7.23,7.24,6.95,78688,56077946.0,4.14,3.29,0.23,0.96,畜禽养殖,600965
2023-05-04,21.2,21.52,21.58,21.11,126160,270043911.43,2.2,0.56,0.12,1.02,畜禽养殖,002299
2023-05-04,10.99,10.83,11.28,10.77,244108,267761124.0,4.64,-1.55,-0.17,3.74,畜禽养殖,600975
2023-05-04,2.45,2.49,2.49,2.44,169262,41896608.0,2.03,1.22,0.03,1.16,水产养殖,600467
2023-05-04,4.85,4.9,4.93,4.85,94544,46216534.0,1.64,0.2,0.01,1.96,水产养殖,600257
2023-05-04,2.75,2.75,2.79,2.74,69364,19161852.83,1.83,0.73,0.02,0.33,畜禽养殖,002321
2023-05-04,5.05,5.16,5.19,5.03,207521,106781549.6,3.16,1.98,0.1,2.36,水产养殖,300094
2023-05-04,19.11,19.27,19.4,18.82,58930,112358179.4,3.03,0.73,0.14,1.94,畜禽养殖,002234
2023-05-04,14.3,14.71,14.82,14.11,159234,230174448.0,4.93,2.22,0.32,2.35,畜禽养殖,002458
2023-05-04,11.42,11.48,11.75,11.36,50775,58571609.2,3.41,0.35,0.04,1.39,海洋捕捞,000798
2023-05-04,8.98,9.1,9.13,8.96,138278,125452658.89,1.89,1.34,0.12,1.95,畜禽养殖,002746
2023-05-04,5.5,5.63,5.82,5.5,41858,23581609.2,5.81,2.18,0.12,2.27,畜禽养殖,300313
2023-05-04,4.36,4.48,4.48,4.33,274059,121267447.0,3.45,2.99,0.13,2.08,煤炭开采,600758
2023-05-04,19.4,19.59,19.69,18.87,450711,872447068.0,4.19,0.1,0.02,0.46,煤炭开采,601225
2023-05-04,9.25,9.32,9.34,9.02,234315,216387549.0,3.44,0.11,0.01,1.95,煤炭开采,600971
